1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,total_request
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
22,24,24,24,22,24,24,24,24,24,24,24,24,24,24,24,380
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,20,24,24,24,24,24,24,380
24,24,24,24,24,23,24,24,24,24,24,24,24,23,24,24,382
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,24,24,24,24,24,24,24,24,24,24,24,24,21,24,381
24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,383
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,382
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,384
24,24,23,21,24,24,24,24,22,20,24,24,24,20,24,24,370
24,24,24,23,24,24,16,24,24,24,24,24,24,23,24,22,372
24,24,22,24,24,24,24,23,24,24,22,24,24,22,24,24,377
24,24,24,20,24,24,24,24,20,24,24,17,24,24,24,24,369
19,24,24,24,21,24,20,24,24,20,24,24,24,15,24,24,359
24,24,24,24,24,19,24,24,23,24,22,24,22,23,24,18,367
24,24,18,20,24,15,23,18,24,24,18,18,24,24,23,24,345
24,24,24,24,18,22,20,24,24,24,23,24,20,23,24,24,366
18,21,24,23,24,15,24,24,23,24,21,19,17,20,19,24,340
24,24,24,19,15,24,24,24,23,22,24,24,24,18,24,21,358
19,20,21,19,18,21,24,24,24,20,21,24,24,24,24,17,344
23,20,23,19,21,18,23,24,24,24,24,24,24,17,24,23,355
21,24,16,15,23,24,21,22,24,22,24,16,16,22,24,21,335
22,14,24,16,19,24,17,24,24,23,21,24,22,21,15,16,326
17,21,24,23,21,18,16,19,21,24,19,16,18,22,17,24,320
22,24,24,23,18,17,22,17,20,13,16,24,14,24,24,17,319
17,19,23,17,24,18,24,22,15,16,15,23,23,24,12,20,312
17,24,24,23,21,17,15,24,16,16,22,17,21,21,19,23,320
24,22,22,18,17,24,20,24,16,21,21,20,21,10,19,17,316
18,20,24,21,22,20,19,22,23,18,19,24,16,17,20,12,315
17,23,14,19,13,19,20,15,16,18,19,15,21,11,17,16,273
24,21,24,22,19,17,23,24,19,21,11,24,24,18,23,15,329
24,21,17,20,20,18,17,17,17,16,18,14,20,14,17,18,288
19,18,15,13,24,17,18,24,22,24,17,18,9,19,16,24,297
16,24,15,20,12,19,13,19,13,18,11,21,12,19,17,12,261
17,20,11,15,20,17,17,19,14,15,16,20,21,20,13,22,277
24,14,24,21,18,14,14,19,12,20,19,16,17,12,14,15,273
13,24,11,19,16,18,17,21,10,23,16,16,19,16,14,13,266
20,14,19,24,13,19,11,21,14,10,16,17,22,16,24,13,273
12,12,16,21,14,11,9,18,13,20,14,15,10,20,14,18,237
17,16,24,13,10,17,20,19,13,24,20,16,17,15,21,15,277
17,14,17,10,17,13,23,18,15,16,16,18,12,10,10,23,249
18,21,16,7,17,13,16,13,22,16,9,12,13,13,10,19,235
8,12,14,13,18,15,13,14,13,14,21,17,18,13,11,14,228
15,18,17,12,16,20,14,15,14,20,10,18,16,16,15,18,254
7,17,15,13,9,12,14,15,19,12,6,16,13,21,15,14,218
12,9,18,12,12,10,15,19,13,14,9,11,14,10,7,17,202
14,17,12,13,9,7,10,13,16,17,12,14,20,15,18,10,217
19,12,15,11,9,15,13,18,11,17,11,11,19,12,10,9,212
12,13,12,6,14,16,19,8,9,21,5,17,15,17,16,10,210
13,10,22,13,9,17,14,14,9,11,12,13,15,6,11,12,201
12,18,7,16,9,18,15,16,10,10,10,13,17,10,4,9,194
11,9,12,17,12,11,15,16,11,13,12,11,15,13,11,18,207
9,16,12,6,10,10,11,14,11,13,12,13,9,6,11,10,173
9,12,12,10,4,13,13,15,14,12,7,15,8,12,22,11,189
12,10,10,8,9,10,9,12,10,13,14,8,20,12,12,10,179
13,12,18,12,13,4,12,4,10,12,8,13,9,7,13,12,172
8,9,16,7,13,12,11,13,11,6,13,12,12,15,20,12,190
10,15,9,9,14,10,12,12,6,14,5,10,9,10,4,11,160
5,18,14,13,8,11,5,13,12,9,11,5,13,16,12,14,179
7,5,6,10,10,10,11,12,12,9,8,10,13,11,4,7,145
8,11,8,12,11,14,6,8,10,10,8,7,13,10,11,10,157
9,4,9,11,10,10,14,9,7,10,10,5,12,10,14,12,156
8,12,9,8,12,11,12,10,9,14,8,15,12,10,7,9,166
7,9,11,11,11,9,11,17,8,11,9,11,9,13,9,7,163
5,10,6,9,6,11,10,8,7,8,13,7,8,3,10,11,132
3,9,9,8,8,7,7,13,7,8,8,7,11,9,7,8,129
2,8,8,5,10,6,6,6,12,15,7,8,11,5,7,11,127
5,4,10,4,12,8,8,11,13,8,4,8,8,7,11,4,125
11,8,11,7,9,11,9,11,4,6,9,7,13,8,15,11,150
13,8,9,5,9,10,7,8,6,3,9,13,11,4,10,9,134
8,9,7,7,7,6,10,8,9,6,5,6,10,7,6,8,119
6,9,9,9,5,7,7,7,4,11,6,15,7,9,5,7,123
2,9,9,7,9,8,2,10,7,10,8,10,4,7,4,7,113
8,5,8,7,14,3,3,7,4,10,3,10,6,15,7,4,114
6,10,5,8,3,3,7,7,14,7,11,8,5,11,9,9,123
11,6,3,13,6,6,5,7,10,10,6,8,5,8,7,7,118
6,4,6,11,12,3,5,3,10,3,7,8,5,10,6,10,109
6,7,3,2,6,3,7,11,7,3,6,7,9,8,3,5,93
4,8,3,11,9,8,6,9,1,6,7,7,2,6,6,4,97
4,8,3,2,6,10,2,1,2,4,5,7,4,7,9,9,83
3,5,6,5,7,7,3,4,7,13,9,8,6,7,9,7,106
3,9,8,4,5,4,8,8,1,3,8,9,6,6,2,7,91
3,7,6,5,4,4,7,6,3,4,3,8,6,3,4,6,79
11,5,2,3,5,5,9,4,6,4,3,6,10,7,4,4,88
5,4,6,3,2,7,9,3,3,3,5,3,10,7,6,2,78
8,5,7,3,6,5,5,5,6,4,3,2,7,8,7,5,86
9,7,7,5,3,5,5,2,8,1,2,7,9,7,4,3,84
8,3,6,6,7,2,2,7,6,1,7,5,12,7,6,6,91
4,1,7,2,3,4,5,8,5,1,3,3,8,7,3,6,70
3,7,5,5,3,6,5,3,3,2,8,5,1,6,2,1,65
7,5,10,2,4,6,6,6,3,6,5,3,2,6,5,4,80
3,5,6,7,5,7,8,5,2,5,7,1,9,3,5,5,83
1,4,2,3,5,2,3,4,3,3,8,6,5,2,4,6,61
4,7,2,5,4,3,1,2,3,9,6,4,8,4,3,5,70
4,2,5,8,3,2,1,4,1,1,6,2,3,5,2,2,51
3,3,6,8,2,2,5,5,4,3,3,4,3,4,4,2,61
2,5,4,4,6,1,1,9,2,4,1,3,4,2,4,4,56
5,6,2,4,1,5,1,1,1,1,2,3,2,6,5,1,46
3,5,3,3,5,4,1,0,2,4,5,4,5,1,3,0,48
2,8,4,2,3,1,3,3,3,2,4,4,2,3,5,5,54
3,4,4,4,2,1,2,3,5,1,1,4,4,4,1,4,47
5,4,5,2,4,4,4,1,7,2,3,4,4,4,2,4,59
1,5,3,3,3,1,2,1,4,2,3,1,1,2,4,2,38
4,2,0,2,4,3,0,4,3,4,2,3,1,3,1,2,38
2,4,3,4,1,3,1,4,0,4,3,3,2,2,1,2,39
2,4,3,1,3,2,1,2,0,3,2,3,3,0,2,3,34
4,1,4,3,1,4,4,2,2,6,2,2,3,3,2,5,48
1,2,2,3,4,2,4,1,4,5,4,2,6,3,4,2,49
0,4,3,2,3,0,2,3,1,1,1,2,3,1,2,1,29
0,2,1,1,1,1,4,1,1,2,0,1,3,1,1,3,23
2,2,1,1,1,2,1,3,3,1,2,2,1,1,2,4,29
0,2,4,2,0,0,3,2,1,3,3,4,2,2,4,1,33
1,2,0,0,3,1,2,1,2,0,4,2,3,2,2,1,26
0,7,1,0,1,1,1,7,2,2,3,3,4,1,7,1,41
1,1,2,0,1,3,0,3,2,2,0,0,2,3,2,1,23
1,1,1,0,1,3,0,4,1,2,0,2,2,1,5,2,26
1,2,2,0,6,3,1,1,2,1,6,3,3,1,1,1,34
2,3,1,0,2,0,1,0,0,0,3,5,2,1,1,1,22
2,2,1,1,1,3,2,4,2,4,0,3,3,1,2,1,32
2,0,2,2,2,2,0,0,1,1,2,1,2,2,1,1,21
0,3,6,0,0,0,1,1,1,2,1,0,2,1,2,1,21
0,0,0,0,2,0,0,0,0,0,1,1,0,0,3,1,8
0,3,1,2,0,4,3,1,0,0,0,0,1,0,0,3,18
0,3,0,1,2,3,0,4,3,1,2,2,0,1,0,0,22
0,4,2,1,0,1,0,2,1,0,0,1,1,0,2,1,16
2,0,0,1,0,1,3,1,0,1,0,1,4,1,2,3,20
2,0,2,0,1,3,1,0,0,0,1,0,1,1,0,0,12
3,1,0,1,1,0,1,3,3,0,1,2,0,0,1,2,19
1,3,1,0,1,0,0,0,0,0,0,1,2,0,0,1,10
1,0,2,0,1,1,1,2,3,0,0,3,2,5,1,0,22
1,0,1,0,1,1,1,1,2,0,0,1,1,0,0,1,11
0,2,0,0,0,0,0,0,0,0,2,1,0,2,1,0,8
2,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,7
1,1,1,1,1,2,1,1,1,1,0,1,0,0,1,0,13
0,3,2,0,0,0,0,2,1,2,2,0,1,0,0,2,15
0,0,0,1,1,0,3,1,0,0,0,0,0,1,1,1,9
1,0,1,0,0,0,0,2,1,1,0,0,1,1,0,0,8
0,1,0,1,0,0,1,1,0,2,1,0,1,0,1,1,10
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,8
1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,1,7
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,6
0,0,2,2,1,0,1,0,2,0,0,0,0,1,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,8
0,0,0,0,0,0,0,1,1,0,3,1,1,2,0,0,9
0,1,0,1,1,1,1,2,0,0,0,3,0,0,2,0,12
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,5
0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,4
1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,5
1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,5
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,6
0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,4
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,6
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,1,1,0,1,0,2,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
